"e575","e575"
"575","575"
"glucono","glucono"
"lactone","lactone"
"e576","e576"
"576","576"
"gluconate","gluconate"
"e577","e577"
"577","577"
"e578","e578"
"578","578"
"e579","e579"
"579","579"
"food","food"
"colouring","colouring"
"e580","e580"
"580","580"
"e585","e585"
"585","585"
"e586","e586"
"586","586"
"hexylresorcinol","hexylresorcinol"
"e598","e598"
"598","598"
"aluminates","aluminates"
"e599","e599"
"599","599"
"perlite","perlite"
"e620","e620"
"620","620"
"glutamic","glutamic"
"flavour","flavour"
"enhancer","enhancer"
"e621","e621"
"621","621"
"glutamate","glutamate"
"msg","msg"
"e622","e622"
"622","622"
"e623","e623"
"623","623"
"diglutamate","diglutamate"
"e624","e624"
"624","624"
"e625","e625"
"625","625"
"e626","e626"
"626","626"
"guanylic","guanylic"
"e627","e627"
"627","627"
"guanylate","guanylate"
"e628","e628"
"628","628"
"e629","e629"
"629","629"
"e630","e630"
"630","630"
"inosinic","inosinic"
"e631","e631"
"631","631"
"inosinate","inosinate"
"e632","e632"
"632","632"
"e633","e633"
"633","633"
"e634","e634"
"634","634"
"ribonucleotides","ribonucleotides"
"e635","e635"
"635","635"
"e640","e640"
"640","640"
"glycine","glycine"
"its","its"
"salt","salt"
"e650","e650"
"650","650"
"e701","e701"
"701","701"
"tetracyclines","tetracyclines"
"antibiotic","antibiotic"
"e702","e702"
"702","702"
"chlortetracycline","chlortetracycline"
"e703","e703"
"703","703"
"oxytetracycline","oxytetracycline"
"e704","e704"
"704","704"
"oleandomycin","oleandomycin"
"e705","e705"
"705","705"
"penicillin","penicillin"
"e706","e706"
"706","706"
"e707","e707"
"707","707"
"procaine","procaine"
"e708","e708"
"708","708"
"benzathine","benzathine"
"e710","e710"
"710","710"
"spiramycins","spiramycins"
"e711","e711"
"711","711"
"virginiamycins","virginiamycins"
"e712","e712"
"712","712"
"flavomycin","flavomycin"
"e713","e713"
"713","713"
"tylosin","tylosin"
"e714","e714"
"714","714"
"monensin","monensin"
"e715","e715"
"715","715"
"avoparcin","avoparcin"
"e716","e716"
"716","716"
"salinomycin","salinomycin"
"e717","e717"
"717","717"
"avilamycin","avilamycin"
"e900","e900"
"900","900"
"polysiloxane","polysiloxane"
"foaming","foaming"
"e901","e901"
"901","901"
"beeswax","beeswax"
"glazing","glazing"
"e902","e902"
"902","902"
"candelilla","candelilla"
"wax","wax"
"e903","e903"
"903","903"
"carnauba","carnauba"
"e904","e904"
"904","904"
"shellac","shellac"
"e905","e905"
"905","905"
"paraffins","paraffins"
"e905a","e905a"
"905a","905a"
"mineral","mineral"
"e905b","e905b"
"905b","905b"
"petrolatum","petrolatum"
"e905c","e905c"
"905c","905c"
"petroleum","petroleum"
"paraffin","paraffin"
"e906","e906"
"906","906"
"e907","e907"
"907","907"
"crystalline","crystalline"
"e908","e908"
"908","908"
"rice","rice"
"bran","bran"
"e909","e909"
"909","909"
"spermaceti","spermaceti"
"e910","e910"
"910","910"
"e911","e911"
"911","911"
"e912","e912"
"912","912"
"montanic","montanic"
"montan","montan"
"e913","e913"
"913","913"
"lanolin","lanolin"
"sheep","sheep"
"wool","wool"
"grease","grease"
"e914","e914"
"914","914"
"polyethylene","polyethylene"
"e915","e915"
"915","915"
"colophony","colophony"
"e916","e916"
"916","916"
"iodate","iodate"
"e917","e917"
"917","917"
"e918","e918"
"918","918"
"nitrogen","nitrogen"
"e919","e919"
"919","919"
"nitrosyl","nitrosyl"
"e920","e920"
"920","920"
"cysteine","cysteine"
"e921","e921"
"921","921"
"cystine","cystine"
"e922","e922"
"922","922"
"persulphate","persulphate"
"e923","e923"
"923","923"
"e924","e924"
"924","924"
"bromate","bromate"
"e924b","e924b"
"924b","924b"
"e925","e925"
"925","925"
"chlorine","chlorine"
"bleach","bleach"
"e926","e926"
"926","926"
"e927","e927"
"e927a","e927a"
"927","927"
"927a","927a"
"azodicarbonamide","azodicarbonamide"
"e927b","e927b"
"927b","927b"
"carbamide","carbamide"
"urea","urea"
"e928","e928"
"928","928"
"benzoyl","benzoyl"
"peroxide","peroxide"
"e929","e929"
"929","929"
"acetone","acetone"
"e930","e930"
"930","930"
"e938","e938"
"938","938"
"argon","argon"
"packaging","packaging"
"gas","gas"
"e939","e939"
"939","939"
"helium","helium"
"e940","e940"
"940","940"
"dichlorodifluoromethane","dichlorodifluoromethane"
"e941","e941"
"941","941"
"propellant","propellant"
"e942","e942"
"942","942"
"nitrous","nitrous"
"e943","e943"
"e943a","e943a"
"943","943"
"943a","943a"
"butane","butane"
"e943b","e943b"
"943b","943b"
"isobutane","isobutane"
"e944","e944"
"944","944"
"e945","e945"
"945","945"
"chloropentafluoroethane","chloropentafluoroethane"
"e946","e946"
"946","946"
"octafluorocyclobutane","octafluorocyclobutane"
"e948","e948"
"948","948"
"oxygen","oxygen"
"e949","e949"
"949","949"
"e950","e950"
"950","950"
"acesulfame","acesulfame"
"e951","e951"
"951","951"
"aspartame","aspartame"
"e952","e952"
"952","952"
"cyclamic","cyclamic"
"also","also"
"known","known"
"as","as"
"cyclamate","cyclamate"
"e953","e953"
"953","953"
"isomalt","isomalt"
"isomaltitol","isomaltitol"
"e954","e954"
"954","954"
"saccharin","saccharin"
"e955","e955"
"955","955"
"sucralose","sucralose"
"trichlorogalactosucrose","trichlorogalactosucrose"
"e956","e956"
"956","956"
"alitame","alitame"
"e957","e957"
"957","957"
"thaumatin","thaumatin"
"e958","e958"
"958","958"
"glycyrrhizin","glycyrrhizin"
"e959","e959"
"959","959"
"neohesperidine","neohesperidine"
"dihydrochalcone","dihydrochalcone"
"e960","e960"
"960","960"
"steviol","steviol"
"glycosides","glycosides"
"e961","e961"
"961","961"
"neotame","neotame"
"e962","e962"
"962","962"
"e965","e965"
"965","965"
"maltitol","maltitol"
"e966","e966"
"966","966"
"lactitol","lactitol"
"e967","e967"
"967","967"
"xylitol","xylitol"
"e968","e968"
"968","968"
"erythritol","erythritol"
"e999","e999"
"999","999"
"quillaia","quillaia"
"extract","extract"
"e1000","e1000"
"1000","1000"
"cholic","cholic"
"e1001","e1001"
"1001","1001"
"choline","choline"
"e1100","e1100"
"1100","1100"
"amylase","amylase"
"e1101","e1101"
"1101","1101"
"proteases","proteases"
"protease","protease"
"papain","papain"
"bromelain","bromelain"
"ficin","ficin"
"e1102","e1102"
"1102","1102"
"glucose","glucose"
"oxidase","oxidase"
"e1103","e1103"
"1103","1103"
